,filename,title,author,task 1,task 2,task 3,github,stars
990,Shi_Towards_Universal_Representation_Learning_for_Deep_Face_Recognition_CVPR_2020_paper,Towards Universal Representation Learning for Deep Face Recognition,Yichun Shi,,,,,
991,Zhong_Robust_Partial_Matching_for_Person_Search_in_the_Wild_CVPR_2020_paper,Robust Partial Matching for Person Search in the Wild,Yingji Zhong,,,,,
992,Du_Correlation-Guided_Attention_for_Corner_Detection_Based_Visual_Tracking_CVPR_2020_paper,Correlation-Guided Attention for Corner Detection Based Visual Tracking,Fei Du,,,,,
993,Porzi_Learning_Multi-Object_Tracking_and_Segmentation_From_Automatic_Annotations_CVPR_2020_paper,Learning Multi-Object Tracking and Segmentation From Automatic Annotations,Lorenzo Porzi,,,,,
994,Benzine_PandaNet_Anchor-Based_Single-Shot_Multi-Person_3D_Pose_Estimation_CVPR_2020_paper,PandaNet: Anchor-Based Single-Shot Multi-Person 3D Pose Estimation,Abdallah Benzine,,,,,
995,Wu_Rotation_Consistent_Margin_Loss_for_Efficient_Low-Bit_Face_Recognition_CVPR_2020_paper,Rotation Consistent Margin Loss for Efficient Low-Bit Face Recognition,Yudong Wu,,,,,
996,Li_Joint_Spatial-Temporal_Optimization_for_Stereo_3D_Object_Tracking_CVPR_2020_paper,Joint Spatial-Temporal Optimization for Stereo 3D Object Tracking,Peiliang Li,,,,,
997,Liu_Unity_Style_Transfer_for_Person_Re-Identification_CVPR_2020_paper,Unity Style Transfer for Person Re-Identification,Chong Liu,,,,,
998,Mitra_Multiview-Consistent_Semi-Supervised_Learning_for_3D_Human_Pose_Estimation_CVPR_2020_paper,Multiview-Consistent Semi-Supervised Learning for 3D Human Pose Estimation,Rahul Mitra,,,,,
999,Gidaris_Learning_Representations_by_Predicting_Bags_of_Visual_Words_CVPR_2020_paper,Learning Representations by Predicting Bags of Visual Words,Spyros Gidaris,,,,,
1000,Khan_AnimalWeb_A_Large-Scale_Hierarchical_Dataset_of_Annotated_Animal_Faces_CVPR_2020_paper,AnimalWeb: A Large-Scale Hierarchical Dataset of Annotated Animal Faces,Muhammad Haris Khan,,,,,
1001,Zhang_A_Transductive_Approach_for_Video_Object_Segmentation_CVPR_2020_paper,A Transductive Approach for Video Object Segmentation,Yizhuo Zhang,,,,,
1002,Wang_Dynamic_Face_Video_Segmentation_via_Reinforcement_Learning_CVPR_2020_paper,Dynamic Face Video Segmentation via Reinforcement Learning,Yujiang Wang,,,,,
1003,Corona_Context-Aware_Human_Motion_Prediction_CVPR_2020_paper,Context-Aware Human Motion Prediction,Enric Corona,,,,,
1004,Isogawa_Optical_Non-Line-of-Sight_Physics-Based_3D_Human_Pose_Estimation_CVPR_2020_paper,Optical Non-Line-of-Sight Physics-Based 3D Human Pose Estimation,Mariko Isogawa,,,,,
1005,Artacho_UniPose_Unified_Human_Pose_Estimation_in_Single_Images_and_Videos_CVPR_2020_paper,UniPose: Unified Human Pose Estimation in Single Images and Videos,Bruno Artacho,,,,,
1006,Ding_Minimal_Solutions_to_Relative_Pose_Estimation_From_Two_Views_Sharing_CVPR_2020_paper,Minimal Solutions to Relative Pose Estimation From Two Views Sharing a Common Direction With Unknown Focal Length,Yaqing Ding,,,,,
1007,Wang_Cross-Modal_Pattern-Propagation_for_RGB-T_Tracking_CVPR_2020_paper,Cross-Modal Pattern-Propagation for RGB-T Tracking,Chaoqun Wang,,,,,
1008,Yang_Distilling_Knowledge_From_Graph_Convolutional_Networks_CVPR_2020_paper,Distilling Knowledge From Graph Convolutional Networks,Yiding Yang,,,,,
1009,Huang_Learning_Identity-Invariant_Motion_Representations_for_Cross-ID_Face_Reenactment_CVPR_2020_paper,Learning Identity-Invariant Motion Representations for Cross-ID Face Reenactment,Po-Hsiang Huang,,,,,
1010,Meng_Parsing-Based_View-Aware_Embedding_Network_for_Vehicle_Re-Identification_CVPR_2020_paper,Parsing-Based View-Aware Embedding Network for Vehicle Re-Identification,Dechao Meng,,,,,
1011,Malik_HandVoxNet_Deep_Voxel-Based_Network_for_3D_Hand_Shape_and_Pose_CVPR_2020_paper,HandVoxNet: Deep Voxel-Based Network for 3D Hand Shape and Pose Estimation From a Single Depth Map,Jameel Malik,,,,,
1012,Yu_Determinant_Regularization_for_Gradient-Efficient_Graph_Matching_CVPR_2020_paper,Determinant Regularization for Gradient-Efficient Graph Matching,Tianshu Yu,,,,,
1013,Lukezic_D3S_-_A_Discriminative_Single_Shot_Segmentation_Tracker_CVPR_2020_paper,D3S - A Discriminative Single Shot Segmentation Tracker,Alan Lukezic,,,,,
1014,Marchetti_MANTRA_Memory_Augmented_Networks_for_Multiple_Trajectory_Prediction_CVPR_2020_paper,MANTRA: Memory Augmented Networks for Multiple Trajectory Prediction,Francesco Marchetti,,,,,
1015,Toromanoff_End-to-End_Model-Free_Reinforcement_Learning_for_Urban_Driving_Using_Implicit_Affordances_CVPR_2020_paper,End-to-End Model-Free Reinforcement Learning for Urban Driving Using Implicit Affordances,Marin Toromanoff,,,,,
1016,Sariyanidi_Can_Facial_Pose_and_Expression_Be_Separated_With_Weak_Perspective_CVPR_2020_paper,Can Facial Pose and Expression Be Separated With Weak Perspective Camera?,Evangelos Sariyanidi,,,,,
1017,Pais_3DRegNet_A_Deep_Neural_Network_for_3D_Point_Registration_CVPR_2020_paper,3DRegNet: A Deep Neural Network for 3D Point Registration,G. Dias Pais,,,,,
1018,Fieraru_Three-Dimensional_Reconstruction_of_Human_Interactions_CVPR_2020_paper,Three-Dimensional Reconstruction of Human Interactions,Mihai Fieraru,,,,,
1019,Zheng_Distribution-Induced_Bidirectional_Generative_Adversarial_Network_for_Graph_Representation_Learning_CVPR_2020_paper,Distribution-Induced Bidirectional Generative Adversarial Network for Graph Representation Learning,Shuai Zheng,,,,,
1020,Mateus_Minimal_Solvers_for_3D_Scan_Alignment_With_Pairs_of_Intersecting_CVPR_2020_paper,Minimal Solvers for 3D Scan Alignment With Pairs of Intersecting Lines,Andre Mateus,,,,,
1021,Li_Wavelet_Integrated_CNNs_for_Noise-Robust_Image_Classification_CVPR_2020_paper,Wavelet Integrated CNNs for Noise-Robust Image Classification,Qiufu Li,,,,,
1022,Huang_PropagationNet_Propagate_Points_to_Curve_to_Learn_Structure_Information_CVPR_2020_paper,PropagationNet: Propagate Points to Curve to Learn Structure Information,Xiehe Huang,,,,,
1023,Wang_Sequential_3D_Human_Pose_and_Shape_Estimation_From_Point_Clouds_CVPR_2020_paper,Sequential 3D Human Pose and Shape Estimation From Point Clouds,Kangkan Wang,,,,,
1024,Gu_Improving_the_Robustness_of_Capsule_Networks_to_Image_Affine_Transformations_CVPR_2020_paper,Improving the Robustness of Capsule Networks to Image Affine Transformations,Jindong Gu,,,,,
1025,Stehouwer_Noise_Modeling_Synthesis_and_Classification_for_Generic_Object_Anti-Spoofing_CVPR_2020_paper,"Noise Modeling, Synthesis and Classification for Generic Object Anti-Spoofing",Joel Stehouwer,,,,,
1026,Yu_Unsupervised_Representation_Learning_for_Gaze_Estimation_CVPR_2020_paper,Unsupervised Representation Learning for Gaze Estimation,Yu Yu,,,,,
1027,Chrysos_P-nets_Deep_Polynomial_Neural_Networks_CVPR_2020_paper,P-nets: Deep Polynomial Neural Networks,Grigorios G. Chrysos,,,,,
1028,Qian_Hierarchically_Robust_Representation_Learning_CVPR_2020_paper,Hierarchically Robust Representation Learning,Qi Qian,,,,,
1029,Zhang_Copy_and_Paste_GAN_Face_Hallucination_From_Shaded_Thumbnails_CVPR_2020_paper,Copy and Paste GAN: Face Hallucination From Shaded Thumbnails,Yang Zhang,,,,,
1030,Zhang_Object-Occluded_Human_Shape_and_Pose_Estimation_From_a_Single_Color_CVPR_2020_paper,Object-Occluded Human Shape and Pose Estimation From a Single Color Image,Tianshu Zhang,,,,,
1031,Sun_Reciprocal_Learning_Networks_for_Human_Trajectory_Prediction_CVPR_2020_paper,Reciprocal Learning Networks for Human Trajectory Prediction,Hao Sun,,,,,
1032,Hayden_Nonparametric_Object_and_Parts_Modeling_With_Lie_Group_Dynamics_CVPR_2020_paper,Nonparametric Object and Parts Modeling With Lie Group Dynamics,David S. Hayden,,,,,
1033,Olszewski_Intuitive_Interactive_Beard_and_Hair_Synthesis_With_Generative_Models_CVPR_2020_paper,"Intuitive, Interactive Beard and Hair Synthesis With Generative Models",Kyle Olszewski,,,,,
1034,Anokhin_High-Resolution_Daytime_Translation_Without_Domain_Labels_CVPR_2020_paper,High-Resolution Daytime Translation Without Domain Labels,Ivan Anokhin,,,,,
1035,Gao_Flow_Contrastive_Estimation_of_Energy-Based_Models_CVPR_2020_paper,Flow Contrastive Estimation of Energy-Based Models,Ruiqi Gao,,,,,
1036,Mosleh_Hardware-in-the-Loop_End-to-End_Optimization_of_Camera_Image_Processing_Pipelines_CVPR_2020_paper,Hardware-in-the-Loop End-to-End Optimization of Camera Image Processing Pipelines,Ali Mosleh,,,,,
1037,Liu_Search_to_Distill_Pearls_Are_Everywhere_but_Not_the_Eyes_CVPR_2020_paper,Search to Distill: Pearls Are Everywhere but Not the Eyes,Yu Liu,,,,,
1038,Kobler_Total_Deep_Variation_for_Linear_Inverse_Problems_CVPR_2020_paper,Total Deep Variation for Linear Inverse Problems,Erich Kobler,,,,,
1039,Werner_Relative_Interior_Rule_in_Block-Coordinate_Descent_CVPR_2020_paper,Relative Interior Rule in Block-Coordinate Descent,Tomas Werner,,,,,
1040,Wang_Learning_Combinatorial_Solver_for_Graph_Matching_CVPR_2020_paper,Learning Combinatorial Solver for Graph Matching,Tao Wang,,,,,
1041,Messaoud_Can_We_Learn_Heuristics_for_Graphical_Model_Inference_Using_Reinforcement_CVPR_2020_paper,Can We Learn Heuristics for Graphical Model Inference Using Reinforcement Learning?,Safa Messaoud,,,,,
1042,Jamal_Rethinking_Class-Balanced_Methods_for_Long-Tailed_Visual_Recognition_From_a_Domain_CVPR_2020_paper,Rethinking Class-Balanced Methods for Long-Tailed Visual Recognition From a Domain Adaptation Perspective,Muhammad Abdullah Jamal,,,,,
1043,Rolinek_Optimizing_Rank-Based_Metrics_With_Blackbox_Differentiation_CVPR_2020_paper,Optimizing Rank-Based Metrics With Blackbox Differentiation,Michal Rolinek,,,,,
1044,Pal_On_the_Regularization_Properties_of_Structured_Dropout_CVPR_2020_paper,On the Regularization Properties of Structured Dropout,Ambar Pal,,,,,
1045,Zhou_Learning_Oracle_Attention_for_High-Fidelity_Face_Completion_CVPR_2020_paper,Learning Oracle Attention for High-Fidelity Face Completion,Tong Zhou,,,,,
1046,Gao_Learning_to_Optimize_on_SPD_Manifolds_CVPR_2020_paper,Learning to Optimize on SPD Manifolds,Zhi Gao,,,,,
1047,Xu_Deep_3D_Portrait_From_a_Single_Image_CVPR_2020_paper,Deep 3D Portrait From a Single Image,Sicheng Xu,,,,,
1048,Zhao_RDCFace_Radial_Distortion_Correction_for_Face_Recognition_CVPR_2020_paper,RDCFace: Radial Distortion Correction for Face Recognition,He Zhao,,,,,
1049,Zhang_Global-Local_GCN_Large-Scale_Label_Noise_Cleansing_for_Face_Recognition_CVPR_2020_paper,Global-Local GCN: Large-Scale Label Noise Cleansing for Face Recognition,Yaobin Zhang,,,,,
1050,Weng_MISC_Multi-Condition_Injection_and_Spatially-Adaptive_Compositing_for_Conditional_Person_Image_CVPR_2020_paper,MISC: Multi-Condition Injection and Spatially-Adaptive Compositing for Conditional Person Image Synthesis,Shuchen Weng,,,,,
1051,Peng_SAINT_Spatially_Aware_Interpolation_NeTwork_for_Medical_Slice_Synthesis_CVPR_2020_paper,SAINT: Spatially Aware Interpolation NeTwork for Medical Slice Synthesis,Cheng Peng,,,,,
1052,Zhang_Overcoming_Multi-Model_Forgetting_in_One-Shot_NAS_With_Diversity_Maximization_CVPR_2020_paper,Overcoming Multi-Model Forgetting in One-Shot NAS With Diversity Maximization,Miao Zhang,,,,,
1053,Joneidi_Select_to_Better_Learn_Fast_and_Accurate_Deep_Learning_Using_CVPR_2020_paper,Select to Better Learn: Fast and Accurate Deep Learning Using Data Selection From Nonlinear Manifolds,Mohsen Joneidi,,,,,
1054,Gafni_Wish_You_Were_Here_Context-Aware_Human_Generation_CVPR_2020_paper,Wish You Were Here: Context-Aware Human Generation,Oran Gafni,,,,,
1055,Yang_Towards_Photo-Realistic_Virtual_Try-On_by_Adaptively_Generating-Preserving_Image_Content_CVPR_2020_paper,Towards Photo-Realistic Virtual Try-On by Adaptively Generating-Preserving Image Content,Han Yang,,,,,
1056,Ding_Guided_Variational_Autoencoder_for_Disentanglement_Learning_CVPR_2020_paper,Guided Variational Autoencoder for Disentanglement Learning,Zheng Ding,,,,,
1057,Duan_Cross-Spectral_Face_Hallucination_via_Disentangling_Independent_Factors_CVPR_2020_paper,Cross-Spectral Face Hallucination via Disentangling Independent Factors,Boyan Duan,,,,,
1058,Cheng_Learned_Image_Compression_With_Discretized_Gaussian_Mixture_Likelihoods_and_Attention_CVPR_2020_paper,Learned Image Compression With Discretized Gaussian Mixture Likelihoods and Attention Modules,Zhengxue Cheng,,,,,
1059,Pumarola_C-Flow_Conditional_Generative_Flow_Models_for_Images_and_3D_Point_CVPR_2020_paper,C-Flow: Conditional Generative Flow Models for Images and 3D Point Clouds,Albert Pumarola,,,,,
1060,Zhuo_Cogradient_Descent_for_Bilinear_Optimization_CVPR_2020_paper,Cogradient Descent for Bilinear Optimization,Li'an Zhuo,,,,,
1061,Han_Joint_Training_of_Variational_Auto-Encoder_and_Latent_Energy-Based_Model_CVPR_2020_paper,Joint Training of Variational Auto-Encoder and Latent Energy-Based Model,Tian Han,,,,,
1062,Qu_Adaptive_Loss-Aware_Quantization_for_Multi-Bit_Networks_CVPR_2020_paper,Adaptive Loss-Aware Quantization for Multi-Bit Networks,Zhongnan Qu,,,,,
1063,Idelbayev_Low-Rank_Compression_of_Neural_Nets_Learning_the_Rank_of_Each_CVPR_2020_paper,Low-Rank Compression of Neural Nets: Learning the Rank of Each Layer,Yerlan Idelbayev,,,,,
1064,Liu_Global_Texture_Enhancement_for_Fake_Face_Detection_in_the_Wild_CVPR_2020_paper,Global Texture Enhancement for Fake Face Detection in the Wild,Zhengzhe Liu,,,,,
1065,Dundar_Panoptic-Based_Image_Synthesis_CVPR_2020_paper,Panoptic-Based Image Synthesis,Aysegul Dundar,,,,,
1066,Srinivasan_Lighthouse_Predicting_Lighting_Volumes_for_Spatially-Coherent_Illumination_CVPR_2020_paper,Lighthouse: Predicting Lighting Volumes for Spatially-Coherent Illumination,Pratul P. Srinivasan,,,,,
1067,Wang_Learning_to_Cartoonize_Using_White-Box_Cartoon_Representations_CVPR_2020_paper,Learning to Cartoonize Using White-Box Cartoon Representations,Xinrui Wang,,,,,
1068,Dong_Fashion_Editing_With_Adversarial_Parsing_Learning_CVPR_2020_paper,Fashion Editing With Adversarial Parsing Learning,Haoye Dong,,,,,
1069,Hoffer_Augment_Your_Batch_Improving_Generalization_Through_Instance_Repetition_CVPR_2020_paper,Augment Your Batch: Improving Generalization Through Instance Repetition,Elad Hoffer,,,,,
1070,Patil_An_End-to-End_Edge_Aggregation_Network_for_Moving_Object_Segmentation_CVPR_2020_paper,An End-to-End Edge Aggregation Network for Moving Object Segmentation,Prashant W. Patil,,,,,
1071,Yu_Learning_Video_Stabilization_Using_Optical_Flow_CVPR_2020_paper,Learning Video Stabilization Using Optical Flow,Jiyang Yu,,,,,
1072,Lee_Warping_Residual_Based_Image_Stitching_for_Large_Parallax_CVPR_2020_paper,Warping Residual Based Image Stitching for Large Parallax,Kyu-Yul Lee,,,,,
1073,Yi_Unpaired_Portrait_Drawing_Generation_via_Asymmetric_Cycle_Mapping_CVPR_2020_paper,Unpaired Portrait Drawing Generation via Asymmetric Cycle Mapping,Ran Yi,,,,,
1074,Chodosh_When_to_Use_Convolutional_Neural_Networks_for_Inverse_Problems_CVPR_2020_paper,When to Use Convolutional Neural Networks for Inverse Problems,Nathaniel Chodosh,,,,,
1075,Kumar_LUVLi_Face_Alignment_Estimating_Landmarks_Location_Uncertainty_and_Visibility_Likelihood_CVPR_2020_paper,"LUVLi Face Alignment: Estimating Landmarks' Location, Uncertainty, and Visibility Likelihood",Abhinav Kumar,,,,,
1076,Wang_Affinity_Graph_Supervision_for_Visual_Recognition_CVPR_2020_paper,Affinity Graph Supervision for Visual Recognition,Chu Wang,,,,,
1077,Dorkenwald_Unsupervised_Magnification_of_Posture_Deviations_Across_Subjects_CVPR_2020_paper,Unsupervised Magnification of Posture Deviations Across Subjects,Michael Dorkenwald,,,,,
1078,Yin_Accurate_Estimation_of_Body_Height_From_a_Single_Depth_Image_CVPR_2020_paper,Accurate Estimation of Body Height From a Single Depth Image via a Four-Stage Developing Network,Fukun Yin,,,,,
1079,Akimoto_Fast_Soft_Color_Segmentation_CVPR_2020_paper,Fast Soft Color Segmentation,Naofumi Akimoto,,,,,
1080,Iglesias_Global_Optimality_for_Point_Set_Registration_Using_Semidefinite_Programming_CVPR_2020_paper,Global Optimality for Point Set Registration Using Semidefinite Programming,Jose Pedro Iglesias,,,,,
1081,Huang_SQE_a_Self_Quality_Evaluation_Metric_for_Parameters_Optimization_in_CVPR_2020_paper,SQE: a Self Quality Evaluation Metric for Parameters Optimization in Multi-Object Tracking,Yanru Huang,,,,,
1082,Wang_EventSR_From_Asynchronous_Events_to_Image_Reconstruction_Restoration_and_Super-Resolution_CVPR_2020_paper,"EventSR: From Asynchronous Events to Image Reconstruction, Restoration, and Super-Resolution via End-to-End Adversarial Learning",Lin Wang,,,,,
1083,Wang_Hierarchical_Pyramid_Diverse_Attention_Networks_for_Face_Recognition_CVPR_2020_paper,Hierarchical Pyramid Diverse Attention Networks for Face Recognition,Qiangchang Wang,,,,,
1084,Henzler_Learning_a_Neural_3D_Texture_Space_From_2D_Exemplars_CVPR_2020_paper,Learning a Neural 3D Texture Space From 2D Exemplars,Philipp Henzler,,,,,
1085,Shim_Robust_Reference-Based_Super-Resolution_With_Similarity-Aware_Deformable_Convolution_CVPR_2020_paper,Robust Reference-Based Super-Resolution With Similarity-Aware Deformable Convolution,Gyumin Shim,,,,,
1086,Zhao_Painting_Many_Pasts_Synthesizing_Time_Lapse_Videos_of_Paintings_CVPR_2020_paper,Painting Many Pasts: Synthesizing Time Lapse Videos of Paintings,Amy Zhao,,,,,
1087,Yoon_GAMIN_Generative_Adversarial_Multiple_Imputation_Network_for_Highly_Missing_Data_CVPR_2020_paper,GAMIN: Generative Adversarial Multiple Imputation Network for Highly Missing Data,Seongwook Yoon,,,,,
1088,Huang_An_Internal_Covariate_Shift_Bounding_Algorithm_for_Deep_Neural_Networks_CVPR_2020_paper,An Internal Covariate Shift Bounding Algorithm for Deep Neural Networks by Unitizing Layers' Outputs,You Huang,,,,,
1089,Haroush_The_Knowledge_Within_Methods_for_Data-Free_Model_Compression_CVPR_2020_paper,The Knowledge Within: Methods for Data-Free Model Compression,Matan Haroush,,,,,
1090,Agustsson_Scale-Space_Flow_for_End-to-End_Optimized_Video_Compression_CVPR_2020_paper,Scale-Space Flow for End-to-End Optimized Video Compression,Eirikur Agustsson,,,,,
1091,Hou_Real-Time_Panoptic_Segmentation_From_Dense_Detections_CVPR_2020_paper,Real-Time Panoptic Segmentation From Dense Detections,Rui Hou,,,,,
1092,Zhu_AdaCoSeg_Adaptive_Shape_Co-Segmentation_With_Group_Consistency_Loss_CVPR_2020_paper,AdaCoSeg: Adaptive Shape Co-Segmentation With Group Consistency Loss,Chenyang Zhu,,,,,
1093,Liu_Boosting_Semantic_Human_Matting_With_Coarse_Annotations_CVPR_2020_paper,Boosting Semantic Human Matting With Coarse Annotations,Jinlin Liu,,,,,
1094,Zhang_UC-Net_Uncertainty_Inspired_RGB-D_Saliency_Detection_via_Conditional_Variational_Autoencoders_CVPR_2020_paper,UC-Net: Uncertainty Inspired RGB-D Saliency Detection via Conditional Variational Autoencoders,Jing Zhang,,,,,
1095,Kalra_Deep_Polarization_Cues_for_Transparent_Object_Segmentation_CVPR_2020_paper,Deep Polarization Cues for Transparent Object Segmentation,Agastya Kalra,,,,,
1096,Li_Approximating_shapes_in_images_with_low-complexity_polygons_CVPR_2020_paper,Approximating shapes in images with low-complexity polygons,Muxingzi Li,,,,,
1097,Wu_Towards_Global_Explanations_of_Convolutional_Neural_Networks_With_Concept_Attribution_CVPR_2020_paper,Towards Global Explanations of Convolutional Neural Networks With Concept Attribution,Weibin Wu,,,,,
1098,Huang_Interpretable_and_Accurate_Fine-grained_Recognition_via_Region_Grouping_CVPR_2020_paper,Interpretable and Accurate Fine-grained Recognition via Region Grouping,Zixuan Huang,,,,,
1099,Li_FALCON_A_Fourier_Transform_Based_Approach_for_Fast_and_Secure_CVPR_2020_paper,FALCON: A Fourier Transform Based Approach for Fast and Secure Convolutional Neural Network Predictions,Shaohua Li,,,,,
1100,Tang_Unsupervised_Domain_Adaptation_via_Structurally_Regularized_Deep_Clustering_CVPR_2020_paper,Unsupervised Domain Adaptation via Structurally Regularized Deep Clustering,Hui Tang,,,,,
1101,Mittal_HyperSTAR_Task-Aware_Hyperparameters_for_Deep_Networks_CVPR_2020_paper,HyperSTAR: Task-Aware Hyperparameters for Deep Networks,Gaurav Mittal,,,,,
1102,Zhu_ActBERT_Learning_Global-Local_Video-Text_Representations_CVPR_2020_paper,ActBERT: Learning Global-Local Video-Text Representations,Linchao Zhu,,,,,
1103,Zhang_State-Relabeling_Adversarial_Active_Learning_CVPR_2020_paper,State-Relabeling Adversarial Active Learning,Beichen Zhang,,,,,
1104,Mai_Erasing_Integrated_Learning_A_Simple_Yet_Effective_Approach_for_Weakly_CVPR_2020_paper,Erasing Integrated Learning: A Simple Yet Effective Approach for Weakly Supervised Object Localization,Jinjie Mai,,,,,
1105,Huynh_A_Shared_Multi-Attention_Framework_for_Multi-Label_Zero-Shot_Learning_CVPR_2020_paper,A Shared Multi-Attention Framework for Multi-Label Zero-Shot Learning,Dat Huynh,,,,,
1106,Jakab_Self-Supervised_Learning_of_Interpretable_Keypoints_From_Unlabelled_Videos_CVPR_2020_paper,Self-Supervised Learning of Interpretable Keypoints From Unlabelled Videos,Tomas Jakab,,,,,
1107,Liu_Few-Shot_Open-Set_Recognition_Using_Meta-Learning_CVPR_2020_paper,Few-Shot Open-Set Recognition Using Meta-Learning,Bo Liu,,,,,
1108,Ye_Few-Shot_Learning_via_Embedding_Adaptation_With_Set-to-Set_Functions_CVPR_2020_paper,Few-Shot Learning via Embedding Adaptation With Set-to-Set Functions,Han-Jia Ye,,,,,
1109,Kamann_Benchmarking_the_Robustness_of_Semantic_Segmentation_Models_CVPR_2020_paper,Benchmarking the Robustness of Semantic Segmentation Models,Christoph Kamann,,,,,
1110,Huang_Deep_Semantic_Clustering_by_Partition_Confidence_Maximisation_CVPR_2020_paper,Deep Semantic Clustering by Partition Confidence Maximisation,Jiabo Huang,,,,,
1111,Chen_Harmonizing_Transferability_and_Discriminability_for_Adapting_Object_Detectors_CVPR_2020_paper,Harmonizing Transferability and Discriminability for Adapting Object Detectors,Chaoqi Chen,,,,,
1112,Huang_Fast_Video_Object_Segmentation_With_Temporal_Aggregation_Network_and_Dynamic_CVPR_2020_paper,Fast Video Object Segmentation With Temporal Aggregation Network and Dynamic Template Matching,Xuhua Huang,,,,,
1113,Tan_VecRoad_Point-Based_Iterative_Graph_Exploration_for_Road_Graphs_Extraction_CVPR_2020_paper,VecRoad: Point-Based Iterative Graph Exploration for Road Graphs Extraction,Yong-Qiang Tan,,,,,
1114,Wang_Towards_Fairness_in_Visual_Recognition_Effective_Strategies_for_Bias_Mitigation_CVPR_2020_paper,Towards Fairness in Visual Recognition: Effective Strategies for Bias Mitigation,Zeyu Wang,,,,,
1115,Kortylewski_Compositional_Convolutional_Neural_Networks_A_Deep_Architecture_With_Innate_Robustness_CVPR_2020_paper,Compositional Convolutional Neural Networks: A Deep Architecture With Innate Robustness to Partial Occlusion,Adam Kortylewski,,,,,
1116,Li_Spatial_Pyramid_Based_Graph_Reasoning_for_Semantic_Segmentation_CVPR_2020_paper,Spatial Pyramid Based Graph Reasoning for Semantic Segmentation,Xia Li,,,,,
1117,Zhang_Part-Aware_Context_Network_for_Human_Parsing_CVPR_2020_paper,Part-Aware Context Network for Human Parsing,Xiaomei Zhang,,,,,
1118,Wang_SCOUT_Self-Aware_Discriminant_Counterfactual_Explanations_CVPR_2020_paper,SCOUT: Self-Aware Discriminant Counterfactual Explanations,Pei Wang,,,,,
1119,Lee_Continual_Learning_With_Extended_Kronecker-Factored_Approximate_Curvature_CVPR_2020_paper,Continual Learning With Extended Kronecker-Factored Approximate Curvature,Janghyeon Lee,,,,,
1120,Zhai_AD-Cluster_Augmented_Discriminative_Clustering_for_Domain_Adaptive_Person_Re-Identification_CVPR_2020_paper,AD-Cluster: Augmented Discriminative Clustering for Domain Adaptive Person Re-Identification,Yunpeng Zhai,,,,,
1121,Zhang_Adaptive_Graph_Convolutional_Network_With_Attention_Graph_Clustering_for_Co-Saliency_CVPR_2020_paper,Adaptive Graph Convolutional Network With Attention Graph Clustering for Co-Saliency Detection,Kaihua Zhang,,,,,
1122,Li_Deep_Fair_Clustering_for_Visual_Learning_CVPR_2020_paper,Deep Fair Clustering for Visual Learning,Peizhao Li,,,,,
1123,Wu_Bidirectional_Graph_Reasoning_Network_for_Panoptic_Segmentation_CVPR_2020_paper,Bidirectional Graph Reasoning Network for Panoptic Segmentation,Yangxin Wu,,,,,
1124,Lu_Stochastic_Classifiers_for_Unsupervised_Domain_Adaptation_CVPR_2020_paper,Stochastic Classifiers for Unsupervised Domain Adaptation,Zhihe Lu,,,,,
1125,Liang_PolyTransform_Deep_Polygon_Transformer_for_Instance_Segmentation_CVPR_2020_paper,PolyTransform: Deep Polygon Transformer for Instance Segmentation,Justin Liang,,,,,
1126,Wang_LT-Net_Label_Transfer_by_Learning_Reversible_Voxel-Wise_Correspondence_for_One-Shot_CVPR_2020_paper,LT-Net: Label Transfer by Learning Reversible Voxel-Wise Correspondence for One-Shot Medical Image Segmentation,Shuxin Wang,,,,,
1127,Fan_FGN_Fully_Guided_Network_for_Few-Shot_Instance_Segmentation_CVPR_2020_paper,FGN: Fully Guided Network for Few-Shot Instance Segmentation,Zhibo Fan,,,,,
1128,Golyanik_A_Quantum_Computational_Approach_to_Correspondence_Problems_on_Point_Sets_CVPR_2020_paper,A Quantum Computational Approach to Correspondence Problems on Point Sets,Vladislav Golyanik,,,,,
1129,Chen_Data-Efficient_Semi-Supervised_Learning_by_Reliable_Edge_Mining_CVPR_2020_paper,Data-Efficient Semi-Supervised Learning by Reliable Edge Mining,Peibin Chen,,,,,
1130,Vowels_NestedVAE_Isolating_Common_Factors_via_Weak_Supervision_CVPR_2020_paper,NestedVAE: Isolating Common Factors via Weak Supervision,Matthew J. Vowels,,,,,
1131,Wang_Progressive_Adversarial_Networks_for_Fine-Grained_Domain_Adaptation_CVPR_2020_paper,Progressive Adversarial Networks for Fine-Grained Domain Adaptation,Sinan Wang,,,,,
1132,Cermelli_Modeling_the_Background_for_Incremental_Learning_in_Semantic_Segmentation_CVPR_2020_paper,Modeling the Background for Incremental Learning in Semantic Segmentation,Fabio Cermelli,,,,,
1133,Li_Self-Learning_With_Rectification_Strategy_for_Human_Parsing_CVPR_2020_paper,Self-Learning With Rectification Strategy for Human Parsing,Tao Li,,,,,
1134,Davidson_Sequential_Mastery_of_Multiple_Visual_Tasks_Networks_Naturally_Learn_to_CVPR_2020_paper,Sequential Mastery of Multiple Visual Tasks: Networks Naturally Learn to Learn and Forget to Forget,Guy Davidson,,,,,
1135,Golatkar_Eternal_Sunshine_of_the_Spotless_Net_Selective_Forgetting_in_Deep_CVPR_2020_paper,Eternal Sunshine of the Spotless Net: Selective Forgetting in Deep Networks,Aditya Golatkar,,,,,
